145	4614730.1651392905	315963.4504982784	4376880.03271219
139	4614730.166892246	315963.4509937805	4376880.035512478
141	4614730.166951907	315963.44675909023	4376880.026917554
144	4614730.16449109	315963.45144494687	4376880.031067275
145	4614730.1651392905	315963.4504982784	4376880.03271219
146	4614730.1672869325	315963.44878346514	4376880.034805121
147	4614730.174430514	315963.45144107	4376880.032948618
148	4614730.161479696	315963.4496242857	4376880.02289602
150	4614730.164738638	315963.4571663723	4376880.034204031
151	4614730.171084802	315963.4558255594	4376880.036645006
152	4614730.158863998	315963.4495760498	4376880.029789718
153	4614730.162276974	315963.45160153235	4376880.02590845
144	4614730.16449109	315963.45144494687	4376880.031067275
154	4614730.163739459	315963.44696997147	4376880.031885309
155	4614730.148781752	315963.44438472664	4376880.00693526
156	4614730.152882773	315963.4548968983	4376880.018360363
